Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,PriceUF,MtTot,UFxMt2,ValueScore,Score,Link
portal inmobiliario,Huechuraba,02/04/2020,Aparment,usada,3,2,2,4150,102,40,2448,589,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5540039-linda-vista-sector-alta-demanda-dn-uda#position=3&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,12/01/2020,Aparment,usada,4,3,1,6300,140,45,4200,666,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5346093-camino-de-cintura-1409-uda#position=11&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,06/26/2020,Aparment,usada,3,2,1,6600,134,49,2948,446,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5685291-impecable-camino-de-cintura-uda#position=8&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,2,2,5500,126,43,3024,549,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606674-depto-como-nuevo-con-hermosa-vista-al-valle-uda#position=36&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,03/25/2020,Aparment,usada,3,2,1,6150,142,43,3124,507,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5434887-pedro-fontova-8080-uda#position=5&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,2,2,5500,126,43,3024,549,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606660-hermosa-vista-desde-camino-de-cintura-uda#position=37&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/06/2020,Aparment,usada,3,2,2,5500,110,50,2640,480,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5645803-increible-departamento-colegio-sfjh-como-nuevo-ga-uda#position=22&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,01/25/2020,Aparment,usada,3,2,1,5790,149,38,3278,566,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5384441-rinconada-el-salto-800-departamento-10-uda#position=7&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,09/06/2020,Aparment,usada,3,2,1,4791,115,41,2530,528,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5656734-pedro-fontovasanta-isabel-uda#position=19&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/21/2020,Aparment,usada,3,3,2,6800,147,46,4116,605,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5623915-camino-de-cintura-8030-departamento-702-uda#position=13&type=item&tracking_id=e94ee454-ac19-425c-8b9c-4acf3eecae8d
portal inmobiliario,Huechuraba,06/16/2020,Aparment,usada,3,2,1,5100,100,51,2200,431,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5667741-vende-exclusivo-pedro-fontova-corredora-excelente-estado-mejor-sector-uda#position=13&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/06/2020,Aparment,usada,3,2,1,4350,100,43,2200,505,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5649478-amplio-departamento-en-el-mejor-sector-de-huechuraba-y-con-una-hermosa-vista-uda#position=21&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/18/2020,Aparment,usada,3,2,1,5468,115,47,2530,462,https://www.portalinmobiliario.com/MLC-527810912-departamento-en-huechuraba-_JM#position=32&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,3,2,4700,100,47,2800,595,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5605156-pedro-fontova-7150-uda#position=40&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/15/2020,Aparment,usada,3,2,2,6000,125,48,3000,500,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5560352-camino-de-cintura-1409-uda#position=46&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/13/2020,Aparment,usada,3,3,2,5900,140,42,3920,664,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5550699-remodelado-y-muy-amplio-uda#position=50&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,04/18/2020,Aparment,usada,4,3,2,6850,150,45,4800,700,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5565286-hermoso-departamento-con-linda-vista-dn-uda#position=45&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,05/29/2020,Aparment,usada,3,3,2,4400,107,41,2996,680,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5637620-pedro-fontova-alberto-undurraga-uda#position=25&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,11/05/2020,Aparment,usada,3,2,1,5300,130,40,2860,539,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5606480-departamento-como-nuevo-en-hermoso-condominio-uda#position=38&type=item&tracking_id=f8a93820-f54f-4e81-bd59-3b87761810c2
portal inmobiliario,Huechuraba,07/07/2020,House,usada,5,4,2,6930,220,31,8800,1269,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5707112-el-sauce-pedro-fontova-4d3b-mas-servicios-140220-m2-uda#position=3&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
portal inmobiliario,Huechuraba,05/14/2020,House,usada,4,3,3,5200,180,28,6120,1176,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5612165-calle-berta-correa-1961-uda#position=37&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
portal inmobiliario,Huechuraba,12/05/2020,House,usada,4,4,2,6500,200,32,7200,1107,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5609134-frente-a-saint-joseph-y-lider-express-uda#position=45&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
portal inmobiliario,Huechuraba,04/20/2020,House,usada,4,3,2,6000,160,37,5120,853,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5567579-torreon-del-carmen-ii-uda#position=25&type=item&tracking_id=0a1c54e0-b7c7-415b-a722-cdf45f6aa394
portal inmobiliario,Huechuraba,12/05/2020,House,usada,4,2,2,4700,150,31,4200,893,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5609224-torreon-del-carmen-huechuraba-uda#position=42&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
portal inmobiliario,Huechuraba,06/25/2020,House,usada,5,3,2,6190,200,30,7200,1163,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5683804-av-santa-marta-alberto-undurraga-pedro-fontova-uda#position=12&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
portal inmobiliario,Huechuraba,10/06/2020,House,usada,3,2,1,4700,148,31,3256,692,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5658141-excelente-oportunidad-dentro-de-microbarrio--uda#position=19&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
portal inmobiliario,Huechuraba,08/04/2020,House,usada,5,3,3,5555,181,30,6878,1238,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5548901-avenida-el-guanaco-norte-2000-uda#position=37&type=item&tracking_id=0a1c54e0-b7c7-415b-a722-cdf45f6aa394
