SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200731,portal inmobiliario,rm,lo barnechea,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,3.0,80TO90,100,83,2,2,1.0,2,1,1,7900,95.0,1369.0,173,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5747442-cercano-a-fernandez-concha-las-condes-uda
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,108,100,3,3,1.0,1,1,0,6900,69.0,1935.0,280,https://www.portalinmobiliario.com/mlc-539000841-departamento-en-venta-de-3-dormitorios-en-las-condes-_jm
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,48,46,2,1,1.0,1,0,1,3385,74.0,538.0,158,https://www.portalinmobiliario.com/mlc-539000510-departamento-en-venta-de-2-dormitorios-en-nunoa-_jm
20200731,portal inmobiliario,rm,nunoa,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,65,60,2,2,1.0,1,1,1,4965,83.0,899.0,181,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5745919-irarrazaval-gral-gorostiaga-uda
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO140,150,135,4,3,1.0,1,1,1,11980,89.0,2996.0,250,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5746250-noruega-los-militares-uda
20200731,portal inmobiliario,rm,estacion central,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,80TO90,43,43,2,1,0.0,0,0,0,2658,62.0,290.0,109,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5749543-buzo-sobenes-uda
20200731,portal inmobiliario,rm,las condes,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,87,79,3,3,1.0,0,1,1,8000,101.0,1459.0,182,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5749784-sebastian-elcano-las-condes-region-met-uda
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,77,77,2,2,0.0,1,1,1,7500,97.0,1135.0,151,https://www.portalinmobiliario.com/mlc-538999887-departamento-en-venta-de-2-dormitorios-en-las-condes-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,44,43,2,1,1.0,1,1,1,2800,65.0,542.0,193,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5750080-condor-san-diego-uda
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,47,42,1,1,1.0,1,0,1,3238,77.0,418.0,129,https://www.portalinmobiliario.com/mlc-539003127-departamento-en-venta-de-1-dormitorio-en-nunoa-_jm
20200731,portal inmobiliario,rm,estacion central,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,LT30,20,20,1,1,0.0,1,1,1,1400,70.0,155.0,110,https://www.portalinmobiliario.com/mlc-539003152-departamento-en-venta-de-1-dormitorio-en-estacion-central-_jm
20200731,portal inmobiliario,rm,independencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,2.0,LT30,30,30,1,1,0.0,0,0,0,1815,60.0,165.0,90,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5746416-hipodromo-chilepablo-urzua-uda
20200731,portal inmobiliario,rm,providencia,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,110,95,3,2,1.0,1,1,1,8900,94.0,1742.0,195,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5634451-antonio-varas-diagonal-oriente-dos-es-uda
20200731,portal inmobiliario,rm,nunoa,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,49,49,1,1,0.0,0,1,1,3500,71.0,416.0,118,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5748992-con-bodega-incluida-irarrazaval-metro-nunoa-uda
