SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200721,portal inmobiliario,rm,santiago,2020-07-14,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,32,32,0.0,1,1,0.0,0,0,0,2187,68.0,224.0,102,https://www.portalinmobiliario.com/mlc-536699397-departamento-en-venta-de-1-dorm-en-santiago-_jm
20200721,portal inmobiliario,rm,las condes,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,110,100,10.0,3,2,1.0,0,1,1,8850,88.0,1638.0,185,https://www.portalinmobiliario.com/mlc-537044929-departamento-en-venta-de-3-dorm-en-las-condes-_jm
20200721,portal inmobiliario,rm,san miguel,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,67,-16,-16.0,3,1,0.0,1,1,1,2850,43.0,335.0,117,https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5722985-decima-avenida-region-metropolitana-de-uda
20200721,portal inmobiliario,rm,san miguel,2020-07-14,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,66,62,6.0,3,2,1.0,1,1,1,3200,52.0,953.0,297,https://www.portalinmobiliario.com/mlc-536688968-gran-avenida-quinta-avenida-_jm
20200721,portal inmobiliario,rm,puente alto,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,1.0,80TO90,45,45,0.0,3,1,0.0,1,0,1,2152,48.0,483.0,224,https://www.portalinmobiliario.com/venta/departamento/puente-alto-metropolitana/5727205-av-la-florida-con-diego-portales-uda
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,53,45,18.0,1,1,1.0,1,1,1,6500,144.0,542.0,83,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5725618-cerro-colorado-6010-uda
20200721,portal inmobiliario,rm,providencia,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,57,57,0.0,2,2,0.0,0,1,0,3800,67.0,726.0,191,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5727195-santa-isabel-fray-camilo-henriquez-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-17,aparment,usada,-16,disponible,-16,83000,-16,N,4.0,80TO90,75,72,4.0,3,2,1.0,0,1,0,4652,65.0,1061.0,228,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724408-plaza-nunoadoctor-johow-uda
20200721,portal inmobiliario,rm,las condes,2020-07-16,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO2H,180,180,0.0,4,3,0.0,2,1,1,14200,79.0,4005.0,282,https://www.portalinmobiliario.com/mlc-536927279-venta-departamento-kennedy-_jm
20200721,portal inmobiliario,rm,santiago,2020-07-21,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,LT30,27,23,17.0,1,1,1.0,1,1,1,1850,80.0,258.0,139,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5728814-manuel-rodriguez-santo-domingo-uda
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO150,-16,150,-16.0,3,3,0.0,0,1,0,13500,90.0,1507.0,111,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726466-glamisenrique-foster-c_259927-uda
20200721,portal inmobiliario,rm,providencia,2020-07-14,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,84,74,14.0,2,2,1.0,1,1,1,5200,70.0,1189.0,228,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5719819-av-salvador-880-uda
20200721,portal inmobiliario,rm,huechuraba,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,110TO130,137,120,14.0,3,2,1.0,1,1,1,5600,47.0,1997.0,356,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5722951-camino-de-cintura-disponibilidad-inmediata-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,60,54,11.0,2,2,1.0,0,0,0,4300,80.0,648.0,150,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5723610-av-condell-uda
20200721,portal inmobiliario,rm,estacion central,2020-07-14,aparment,usada,-16,disponible,-16,55000,-16,N,1.0,80TO90,53,53,0.0,2,1,0.0,1,0,1,2250,42.0,463.0,205,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5719712-placilla-149-uda
