Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"toctoc","Huechuraba","22-05-2020","Aparment","TBD","0 m²","3.0","2.0","TBD","UF  5.900","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/rinconada-del-salto-ciudad-empresarial-avenida-del-parque-huechuraba/1483827?o=resultado_lista_seo_info"
"toctoc","Huechuraba","16-03-2020","Aparment","TBD","144 m²","3.0","3.0","TBD","UF  6.800","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/935219?o=resultado_lista_seo_info"
"toctoc","Huechuraba","29-10-2019","Aparment","TBD","140 m²","3.0","3.0","TBD","UF  6.500","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/se-vende-depto-cn-envidiable-vista-al-valle-de-huechuraba/1344999?o=resultado_lista_seo_info"
"toctoc","Huechuraba","06-12-2019","Aparment","TBD","110 m²","3.0","3.0","TBD","UF  4.650","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/huechuraba/1373752?o=resultado_lista_seo_info"
"toctoc","Huechuraba","06-07-2020","Aparment","TBD","140 m²","4.0","4.0","TBD","UF  6.690","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/el-sauce-pedro-fontova-4d-3b-140-220-m2/1511522?o=resultado_lista_seo_info"
"toctoc","Huechuraba","24-06-2020","Aparment","TBD","128 m²","3.0","3.0","TBD","UF  6.990","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/av-del-parque-comodos-espacios-vista-despejada/1504501?o=resultado_lista_seo_info"
"toctoc","Huechuraba","16-03-2020","Aparment","TBD","140 m²","3.0","3.0","TBD","UF  6.300","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/879856?o=resultado_lista_seo_info"
"toctoc","Huechuraba","01-07-2020","Aparment","TBD","0 m²","3.0","3.0","TBD","UF  6.600","https://www.toctoc.com/propiedades/compraparticularsr/departamento/huechuraba/rinconada-el-salto-990-dp-801-huechuraba/1508043?o=resultado_lista_seo_info"
"toctoc","Huechuraba","13-05-2020","Aparment","TBD","130 m²","3.0","3.0","TBD","UF  5.800","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/departamento-oportunidad-inversionistas/1479312?o=resultado_lista_seo_info"
"toctoc","Huechuraba","06-07-2020","Aparment","TBD","0 m²","4.0","4.0","TBD","UF  6.100","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova-el-carmen-tour-virtual-2-suite-4d-4b-2-estacionamientos-175-m2/1511501?o=resultado_lista_seo_info"
"toctoc","Huechuraba","27-12-2019","Aparment","TBD","149,7 m²","4.0","3.0","TBD","UF  6.850","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/hermoso-departamento-con-linda-vista-d-n/1387567?o=resultado_lista_seo_info"
"toctoc","Huechuraba","19-06-2020","Aparment","TBD","149 m²","4.0","3.0","TBD","UF  6.850","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/san-clemente-camino-de-cintura/1384426?o=resultado_lista_seo_info"
"toctoc","Huechuraba","11-05-2020","Aparment","TBD","130 m²","3.0","2.0","TBD","UF  6.700","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/bosques-de-la-piramide/1477361?o=resultado_lista_seo_info"
"toctoc","Huechuraba","09-04-2020","Aparment","TBD","122 m²","3.0","2.0","TBD","UF  6.200","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/departamento-con-patio-pedro-fontova-huechuraba/1457057?o=resultado_lista_seo_info"
"toctoc","Huechuraba","21-04-2020","Aparment","TBD","0 m²","3.0","3.0","TBD","UF  6.150","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/bosques-de-la-piramide-rinconada-el-salto/1463160?o=resultado_lista_seo_info"
"toctoc","Huechuraba","08-04-2020","Aparment","TBD","169 m²","4.0","4.0","TBD","UF  6.300","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/4-dormitorios-exclusivo-condominio/1456616?o=resultado_lista_seo_info"
"toctoc","Huechuraba","14-04-2020","Aparment","TBD","122 m²","4.0","3.0","TBD","UF  5.600","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/excelente-departamento-mejor-sector-p-v/1458666?o=resultado_lista_seo_info"
"toctoc","Huechuraba","11-05-2020","Aparment","TBD","138 m²","3.0","3.0","TBD","UF  6.250","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/pedro-fontova/1161094?o=resultado_lista_seo_info"
"toctoc","Huechuraba","29-06-2020","Aparment","TBD","0 m²","4.0","3.0","TBD","UF  6.300","https://www.toctoc.com/propiedades/compraparticularsr/departamento/huechuraba/santa-marta-de-huechuraba-6650-huechuraba/1506532?o=resultado_lista_seo_info"
"toctoc","Huechuraba","06-12-2019","Aparment","TBD","120 m²","4.0","3.0","TBD","UF  6.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/santa-marta-huechuraba/1373753?o=resultado_lista_seo_info"
"toctoc","Huechuraba","18-12-2019","Aparment","TBD","112 m²","3.0","2.0","TBD","UF  4.600","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/cercana-a-pedro-fontova/1382928?o=resultado_lista_seo_info"
"toctoc","Huechuraba","05-06-2020","Aparment","TBD","120 m²","3.0","3.0","TBD","UF  6.150","https://www.toctoc.com/propiedades/compracorredorasr/departamento/huechuraba/3d-3b-vista-despejada-ciudad-empresarial-ps/1453678?o=resultado_lista_seo_info"
"toctoc","Huechuraba","23-06-2020","House","TBD","0 m²","4.0","4.0","TBD","UF  5.800","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/a-pasos-de-pedro-fontova-conectividad-pv/1503601?o=resultado_lista_seo_info"
"toctoc","Huechuraba","17-06-2020","House","TBD","0 m²","6.0","2.0","TBD","$  125.000.000","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/andacollo/1498115?o=resultado_lista_seo_info"
"toctoc","Huechuraba","16-05-2020","House","TBD","140 m²","3.0","3.0","TBD","UF  5.900","https://www.toctoc.com/propiedades/compraparticularsr/casa/huechuraba/propiedad-con-piscina-muy-bien-mantenida-dentro-de-condominio/1480906?o=resultado_lista_seo_info"
"toctoc","Huechuraba","06-05-2020","House","TBD","0 m²","3.0","3.0","TBD","UF  6.500","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/guanaco-norte-1545/1474176?o=resultado_lista_seo_info"
"toctoc","Huechuraba","11-05-2020","House","TBD","0 m²","4.0","3.0","TBD","UF  5.833","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/calle-camino-del-roble-n-1790-casa-13-huechuraba/1427576?o=resultado_lista_seo_info"
"toctoc","Huechuraba","09-05-2020","House","TBD","0 m²","4.0","3.0","TBD","UF  6.150","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/excelente-casa-gran-conectividad-oa/1476306?o=resultado_lista_seo_info"
"toctoc","Huechuraba","14-06-2020","House","TBD","0 m²","4.0","3.0","TBD","UF  6.390","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/calle-de-la-vina-esquina-manantial/1496606?o=resultado_lista_seo_info"
"toctoc","Huechuraba","27-05-2020","House","TBD","0 m²","5.0","3.0","TBD","UF  5.500","https://www.toctoc.com/propiedades/compracorredorasr/casa/huechuraba/santa-marta-de-huechuraba-guanaco-norte/1486679?o=resultado_lista_seo_info"
"toctoc","Huechuraba","07-05-2020","House","TBD","120 m²","4.0","4.0","TBD","UF  6.700","https://www.toctoc.com/propiedades/compraparticularsr/casa/huechuraba/santa-marta-de-huechuraba-6455-casa79-el-portal-huechuraba/1474697?o=resultado_lista_seo_info"
