,PriceUnit,Price,item,link
80,UF,7.050,UF 7.050,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5514629-emblematico-barrio-yungay-en-condominio-casa-town-house-un-concepto-diferente-4-pisos-ultimo-terraza-panoramnica-uda#position=31&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
81,UF,7.050,UF 7.050,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5653629-emblematico-barrio-yungay-en-condominio-casa-town-house-un-concepto-diferente-4-pisos-ultimo-terraza-panoramnica-uda#position=32&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
82,UF,8.250,UF 8.250,https://www.portalinmobiliario.com/MLC-539456924-casa-en-venta-trebulco-carampangue-_JM#position=33&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
83,$,85.000.000,$ 85.000.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5752431-venta-casa-3-dormitorios-1-bano-270-mt-uda#position=34&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
84,$,210.000.000,$ 210.000.000,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/5752347-nuble-cuevas-uda#position=35&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
85,UF,8.700,UF 8.700,https://www.portalinmobiliario.com/MLC-539195778-casa-en-venta-de-7-dorm-en-santiago-_JM#position=36&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
86,UF,3.118,UF 3.118,https://www.portalinmobiliario.com/MLC-539156980-casa-en-venta-las-rosas-_JM#position=37&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
87,UF,3.600,UF 3.600,https://www.portalinmobiliario.com/MLC-539013120-inversion-metro-sta-lucia-_JM#position=38&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
88,$,140.000.000,$ 140.000.000,https://www.portalinmobiliario.com/MLC-539002046-casa-en-venta-de-5-dormitorios-en-santiago-_JM#position=39&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
89,$,179.000.000,$ 179.000.000,https://www.portalinmobiliario.com/MLC-539001903-casa-en-venta-de-4-dormitorios-en-santiago-_JM#position=40&type=item&tracking_id=ca7a2b49-c7a4-4355-864d-aae91ccb3329
90,UF,8.000,UF 8.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5763737-clasica-casa-de-fachada-continua-miguel-claro-sucre-maiten-propiedades-uda#position=1&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
91,UF,22.490,UF 22.490,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5763725-oportunidad-esquina-a-pasos-nuevo-metro-gran-sucursal-y-presencia-corporativa-estupenda-gran-sucursal-comercial-de-210-m2-y-635-m2-terreno-uda#position=2&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
92,$,275.000.000,$ 275.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5763418-ramon-puelma-pedro-de-valdivia-uda#position=3&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
93,UF,6.750,UF 6.750,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5763084-linda-casa-para-remodelar-excelente-ubicacion-uda#position=4&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
94,$,270.000.000,$ 270.000.000,https://www.portalinmobiliario.com/MLC-540437275-casa-en-venta-de-3-dorm-en-nunoa-_JM#position=5&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
95,UF,12.990,UF 12.990,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5276217-crescente-errazurriz-210-315-4-dormitorio-2-banos-gran-cocina-uda#position=6&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
96,UF,16.000,UF 16.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5740672-brown-norte-simon-bolivar-uda#position=7&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
97,UF,12.800,UF 12.800,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5760653-diagonal-oriente-pedro-de-valdivia-uda#position=8&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
98,$,280.000.000,$ 280.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5740674-juan-moya-los-cerezos-uda#position=9&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
99,$,350.000.000,$ 350.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5712978-grecia-crescente-errazuriz-uda#position=10&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
100,UF,12.800,UF 12.800,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5579742-diagonal-oriente-pedro-de-valdivia-uda#position=11&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
